Año,despojo,robo_casa_habitacion
2015,3248,5561
2016,3366,6285
2017,3427,6629
2018,3618,7557
2019,3994,6837
2020,3945,4172
2021,4437,3681
2022,4039,3293
2023,3879,3433
2024,3643,3236
2025,3797,2593
